datetime,low,high
2021-01-15,0.814,0.9965
2021-01-16,0.902,1.01
2021-01-17,0.895,1.047
2021-01-18,0.949,1.147
2021-01-19,0.974,1.157
2021-01-20,0.9235,1.037
2021-01-21,0.824,1.016
2021-01-22,0.7905,0.943
2021-01-23,0.878,1.03
2021-01-24,0.961,1.044
2021-01-25,0.95,1.109
2021-01-26,0.944,1.052
2021-01-27,1.024,1.379
2021-01-28,1.206,1.369
2021-01-29,1.101,1.346
2021-01-30,1.177,1.363
2021-01-31,1.251,1.472
2021-02-01,1.226,1.423
2021-02-02,1.21,1.387
2021-02-03,1.321,1.558
2021-02-04,1.306,1.861
2021-02-05,1.699,1.935
2021-02-06,1.558,1.835
2021-02-07,1.742,2.173
2021-02-08,1.982,2.433
2021-02-09,2.135,2.558
2021-02-10,2.124,2.721
2021-02-11,2.36,2.961
2021-02-12,2.602,2.98
2021-02-13,2.45,2.949
2021-02-14,2.148,2.72
2021-02-15,1.8,2.416
2021-02-16,2.087,2.406
2021-02-17,1.98,2.563
2021-02-18,2.383,3.165
2021-02-19,2.918,3.682
2021-02-20,2.6,3.873
2021-02-21,2.916,3.381
2021-02-22,2.271,3.111
2021-02-23,1.66,2.837
2021-02-24,2.115,2.567
2021-02-25,2.231,2.743
2021-02-26,2.024,2.428
2021-02-27,2.167,2.366
2021-02-28,1.825,2.249
2021-03-01,1.968,2.278
2021-03-02,2.109,2.39
2021-03-03,2.204,2.763
2021-03-04,2.284,2.742
2021-03-05,2.22,2.437
2021-03-06,2.256,2.418
2021-03-07,2.378,2.732
2021-03-08,2.517,2.991
2021-03-09,2.82,3.136
2021-03-10,2.77,3.407
2021-03-11,3.038,3.778
2021-03-12,3.06,3.686
2021-03-13,2.925,3.265
2021-03-14,2.825,3.345
2021-03-15,2.762,3.228
2021-03-16,2.712,3.282
2021-03-17,2.963,3.3
2021-03-18,3.147,3.513
2021-03-19,3.217,3.986
2021-03-20,3.55,4.149
2021-03-21,3.42,3.95
2021-03-22,3.311,4.0
2021-03-23,3.135,3.505
2021-03-24,2.63,3.503
2021-03-25,2.612,2.93
2021-03-26,2.761,3.116
2021-03-27,2.912,3.178
2021-03-28,3.002,3.344
2021-03-29,3.038,3.324
2021-03-30,3.238,3.758
2021-03-31,3.228,3.766
2021-04-01,3.413,3.829
2021-04-02,3.567,3.793
2021-04-03,3.371,3.899
2021-04-04,3.26,4.476
2021-04-05,4.096,5.362
2021-04-06,4.182,5.014
2021-04-07,3.83,4.843
