datetime,low,high
2021-01-14 14:00:00,0.8865,0.904
2021-01-14 15:00:00,0.8713,0.8946
2021-01-14 16:00:00,0.8776,0.8976
2021-01-14 17:00:00,0.887,0.897
2021-01-14 18:00:00,0.8815,0.8894
2021-01-14 19:00:00,0.883,0.9013
2021-01-14 20:00:00,0.8711,0.8978
2021-01-14 21:00:00,0.838,0.887
2021-01-14 22:00:00,0.857,0.868
2021-01-14 23:00:00,0.8724,0.8818
2021-01-15 00:00:00,0.878,0.8855
2021-01-15 01:00:00,0.878,0.901
2021-01-15 02:00:00,0.883,0.926
2021-01-15 03:00:00,0.8925,0.9165
2021-01-15 04:00:00,0.887,0.899
2021-01-15 05:00:00,0.8905,0.9235
2021-01-15 06:00:00,0.8834,0.9112
2021-01-15 07:00:00,0.897,0.939
2021-01-15 08:00:00,0.92,0.9465
2021-01-15 09:00:00,0.921,0.984
2021-01-15 10:00:00,0.965,0.9965
2021-01-15 11:00:00,0.9455,0.972
2021-01-15 12:00:00,0.909,0.9515
2021-01-15 13:00:00,0.927,0.963
2021-01-15 14:00:00,0.917,0.9555
2021-01-15 15:00:00,0.849,0.9275
2021-01-15 16:00:00,0.8485,0.8948
2021-01-15 17:00:00,0.8706,0.8803
2021-01-15 18:00:00,0.858,0.883
2021-01-15 19:00:00,0.861,0.879
2021-01-15 20:00:00,0.8695,0.8812
2021-01-15 21:00:00,0.876,0.8916
2021-01-15 22:00:00,0.8893,0.9021
2021-01-15 23:00:00,0.891,0.916
2021-01-16 00:00:00,0.9111,0.9267
2021-01-16 01:00:00,0.9165,0.9645
2021-01-16 02:00:00,0.9083,0.9332
2021-01-16 03:00:00,0.9045,0.951
2021-01-16 04:00:00,0.9402,0.9567
2021-01-16 05:00:00,0.902,0.9385
2021-01-16 06:00:00,0.916,0.945
2021-01-16 07:00:00,0.937,0.957
2021-01-16 08:00:00,0.9505,0.969
2021-01-16 09:00:00,0.961,1.005
2021-01-16 10:00:00,0.971,0.995
2021-01-16 11:00:00,0.9635,0.9995
2021-01-16 12:00:00,0.942,0.989
2021-01-16 13:00:00,0.956,0.9735
2021-01-16 14:00:00,0.95,0.9715
2021-01-16 15:00:00,0.964,1.01
2021-01-16 16:00:00,0.976,1.002
2021-01-16 17:00:00,0.969,0.989
2021-01-16 18:00:00,0.959,0.9845
2021-01-16 19:00:00,0.95,0.9705
2021-01-16 20:00:00,0.955,0.978
2021-01-16 21:00:00,0.932,0.975
